Timestamp,team_sport,gpa
10/17/2023 11:03,Yes,4
10/17/2023 11:08,Yes,4
10/17/2023 11:09,No,4
10/17/2023 14:08,Yes,4
10/17/2023 19:22,No,4
10/17/2023 21:14,Yes,4
10/31/2023 14:22,No,4
10/17/2023 11:34,Yes,2.49 - 2.00
10/17/2023 10:59,Yes,3.00 - 3.49
10/17/2023 11:06,Yes,3.00 - 3.49
10/17/2023 11:06,No,3.50 - 3.90
10/17/2023 11:06,Yes,3.50 - 3.90
10/17/2023 11:19,No,3.50 - 3.90
10/17/2023 11:34,Yes,3.50 - 3.90
10/17/2023 11:41,Yes,3.50 - 3.90
10/17/2023 14:08,Yes,3.50 - 3.90
10/17/2023 14:11,Yes,3.50 - 3.90
10/17/2023 14:21,No,3.50 - 3.90
10/17/2023 19:23,No,3.50 - 3.90
10/19/2023 17:01,No,3.50 - 3.90
10/19/2023 17:07,No,3.50 - 3.90
10/31/2023 14:18,No,3.50 - 3.90
10/31/2023 14:19,No,3.50 - 3.90
10/31/2023 14:19,No,3.50 - 3.90
10/31/2023 14:20,Yes,3.50 - 3.90
10/31/2023 14:21,Yes,3.50 - 3.90
10/31/2023 14:22,Yes,3.50 - 3.90
10/31/2023 14:22,Yes,3.50 - 3.90
10/31/2023 14:25,Yes,3.50 - 3.90
